Vendor,Year,Month,TotalSubmissions
bioRxiv,2014,1,74
bioRxiv,2014,2,87
bioRxiv,2014,3,73
bioRxiv,2014,4,99
bioRxiv,2014,5,102
bioRxiv,2014,6,107
bioRxiv,2014,7,94
bioRxiv,2014,8,122
bioRxiv,2014,9,132
bioRxiv,2014,10,119
bioRxiv,2014,11,120
bioRxiv,2014,12,129
bioRxiv,2015,1,147
bioRxiv,2015,2,126
bioRxiv,2015,3,183
bioRxiv,2015,4,180
bioRxiv,2015,5,169
bioRxiv,2015,6,188
bioRxiv,2015,7,222
bioRxiv,2015,8,242
bioRxiv,2015,9,235
bioRxiv,2015,10,282
bioRxiv,2015,11,300
bioRxiv,2015,12,276
bioRxiv,2016,1,293
bioRxiv,2016,2,393
bioRxiv,2016,3,520
bioRxiv,2016,4,490
bioRxiv,2016,5,553
bioRxiv,2016,6,533
bioRxiv,2016,7,535
bioRxiv,2016,8,623
bioRxiv,2016,9,597
bioRxiv,2016,10,666
bioRxiv,2016,11,652
bioRxiv,2016,12,766
bioRxiv,2017,1,811
bioRxiv,2017,2,872
bioRxiv,2017,3,"1,145"
bioRxiv,2017,4,"1,026"
bioRxiv,2017,5,"1,320"
bioRxiv,2017,6,"1,502"
bioRxiv,2017,7,"1,374"
bioRxiv,2017,8,"1,463"
bioRxiv,2017,9,"1,510"
bioRxiv,2017,10,"1,700"
bioRxiv,2017,11,"1,696"
bioRxiv,2017,12,"1,545"
bioRxiv,2018,1,"1,812"
bioRxiv,2018,2,"1,755"
bioRxiv,2018,3,"2,095"
bioRxiv,2018,4,"2,047"
bioRxiv,2018,5,"2,570"
bioRxiv,2018,6,"2,517"
bioRxiv,2018,7,"2,404"
bioRxiv,2018,8,"2,555"
bioRxiv,2018,9,"2,544"
bioRxiv,2018,10,"2,916"
bioRxiv,2018,11,"2,690"
bioRxiv,2018,12,"2,659"
bioRxiv,2019,1,"3,026"
bioRxiv,2019,2,"2,777"
bioRxiv,2019,3,"3,292"
bioRxiv,2019,4,"3,086"
bioRxiv,2019,5,"3,427"
bioRxiv,2019,6,"3,209"
bioRxiv,2019,7,"3,600"
bioRxiv,2019,8,"3,326"
bioRxiv,2019,9,"3,554"
bioRxiv,2019,10,"3,922"
bioRxiv,2019,11,"3,489"
bioRxiv,2019,12,"3,154"
bioRxiv,2020,1,"3,649"
bioRxiv,2020,2,"3,766"
bioRxiv,2020,3,"4,204"
bioRxiv,2020,4,"4,662"
bioRxiv,2020,5,"5,158"
bioRxiv,2020,6,"5,146"
bioRxiv,2020,7,"5,014"
bioRxiv,2020,8,"4,323"
bioRxiv,2020,9,"4,352"
bioRxiv,2020,10,"4,423"
bioRxiv,2020,11,"4,127"
bioRxiv,2020,12,"4,216"
bioRxiv,2021,1,"4,263"
bioRxiv,2021,2,"4,386"
bioRxiv,2021,3,"4,955"
bioRxiv,2021,4,"4,512"
bioRxiv,2021,5,"4,501"
bioRxiv,2021,6,"4,192"
bioRxiv,2021,7,"4,075"
bioRxiv,2021,8,"3,990"
bioRxiv,2021,9,"4,167"
bioRxiv,2021,10,"4,223"
bioRxiv,2021,11,"4,012"
bioRxiv,2021,12,"4,014"
bioRxiv,2022,1,"3,935"
bioRxiv,2022,2,"3,666"
bioRxiv,2022,3,"4,309"
bioRxiv,2022,4,"3,779"
bioRxiv,2022,5,"4,260"
bioRxiv,2022,6,"3,941"
bioRxiv,2022,7,"4,028"
bioRxiv,2022,8,"3,958"
bioRxiv,2022,9,"4,284"
bioRxiv,2022,10,"4,321"
bioRxiv,2022,11,"4,100"
bioRxiv,2022,12,"4,007"
bioRxiv,2023,1,"4,086"
bioRxiv,2023,2,"4,142"
bioRxiv,2023,3,"4,732"
bioRxiv,2023,4,"4,101"
bioRxiv,2023,5,"4,401"
bioRxiv,2023,6,"4,496"
bioRxiv,2023,7,"4,357"
bioRxiv,2023,8,"4,560"
bioRxiv,2023,9,"4,816"
bioRxiv,2023,10,"4,682"
bioRxiv,2023,11,"4,997"
bioRxiv,2023,12,"4,589"
bioRxiv,2024,1,"4,569"
bioRxiv,2024,2,"4,669"
bioRxiv,2024,3,"5,189"
bioRxiv,2024,4,"4,654"
bioRxiv,2024,5,"4,998"
bioRxiv,2024,6,"5,074"
bioRxiv,2024,7,"5,152"
bioRxiv,2024,8,"4,881"
bioRxiv,2024,9,"5,415"
bioRxiv,2024,10,"5,686"
bioRxiv,2024,11,"5,151"
bioRxiv,2024,12,"5,130"
arxiv,2014,1,8294
arxiv,2014,2,7374
arxiv,2014,3,8154
arxiv,2014,4,7855
arxiv,2014,5,7975
arxiv,2014,6,7874
arxiv,2014,7,8549
arxiv,2014,8,7119
arxiv,2014,9,8676
arxiv,2014,10,8871
arxiv,2014,11,8006
arxiv,2014,12,8770
arxiv,2015,1,7912
arxiv,2015,2,8054
arxiv,2015,3,9191
arxiv,2015,4,8367
arxiv,2015,5,8172
arxiv,2015,6,9217
arxiv,2015,7,8995
arxiv,2015,8,7983
arxiv,2015,9,9318
arxiv,2015,10,9223
arxiv,2015,11,9472
arxiv,2015,12,9376
arxiv,2016,1,8251
arxiv,2016,2,9142
arxiv,2016,3,9746
arxiv,2016,4,8948
arxiv,2016,5,9792
arxiv,2016,6,9644
arxiv,2016,7,8911
arxiv,2016,8,9016
arxiv,2016,9,9869
arxiv,2016,10,10100
arxiv,2016,11,10362
arxiv,2016,12,9599
arxiv,2017,1,9186
arxiv,2017,2,8910
arxiv,2017,3,11008
arxiv,2017,4,9029
arxiv,2017,5,11194
arxiv,2017,6,10297
arxiv,2017,7,9980
arxiv,2017,8,9854
arxiv,2017,9,10517
arxiv,2017,10,11627
arxiv,2017,11,11589
arxiv,2017,12,10332
arxiv,2018,1,10609
arxiv,2018,2,10593
arxiv,2018,3,11560
arxiv,2018,4,11352
arxiv,2018,5,12595
arxiv,2018,6,11568
arxiv,2018,7,11938
arxiv,2018,8,10870
arxiv,2018,9,11171
arxiv,2018,10,13446
arxiv,2018,11,12941
arxiv,2018,12,11973
arxiv,2019,1,11537
arxiv,2019,2,11302
arxiv,2019,3,12654
arxiv,2019,4,13396
arxiv,2019,5,13750
arxiv,2019,6,12350
arxiv,2019,7,13634
arxiv,2019,8,11868
arxiv,2019,9,13881
arxiv,2019,10,14675
arxiv,2019,11,13302
arxiv,2019,12,13517
arxiv,2020,1,12010
arxiv,2020,2,12932
arxiv,2020,3,14415
arxiv,2020,4,15025
arxiv,2020,5,14719
arxiv,2020,6,17000
arxiv,2020,7,16208
arxiv,2020,8,13781
arxiv,2020,9,14827
arxiv,2020,10,16418
arxiv,2020,11,15130
arxiv,2020,12,15864
arxiv,2021,1,12747
arxiv,2021,2,13656
arxiv,2021,3,17273
arxiv,2021,4,15141
arxiv,2021,5,15205
arxiv,2021,6,16248
arxiv,2021,7,14803
arxiv,2021,8,14006
arxiv,2021,9,15322
arxiv,2021,10,15960
arxiv,2021,11,15673
arxiv,2021,12,15596
arxiv,2022,1,13452
arxiv,2022,2,14038
arxiv,2022,3,17276
arxiv,2022,4,14274
arxiv,2022,5,16008
arxiv,2022,6,15478
arxiv,2022,7,14814
arxiv,2022,8,15003
arxiv,2022,9,15640
arxiv,2022,10,17551
arxiv,2022,11,17271
arxiv,2022,12,14887
arxiv,2023,1,13870
arxiv,2023,2,14863
arxiv,2023,3,18249
arxiv,2023,4,15010
arxiv,2023,5,20092
arxiv,2023,6,17848
arxiv,2023,7,16897
arxiv,2023,8,16912
arxiv,2023,9,17453
arxiv,2023,10,20710
arxiv,2023,11,18841
arxiv,2023,12,17748
arxiv,2024,1,18085
arxiv,2024,2,19481
arxiv,2024,3,20332
arxiv,2024,4,19761
arxiv,2024,5,21076
arxiv,2024,6,20099
arxiv,2024,7,21794
arxiv,2024,8,17451
arxiv,2024,9,20569
arxiv,2024,10,24226
arxiv,2024,11,19951
arxiv,2024,12,21206